rank,char,pinyin,pinyin_no_accents,meaning,alternative,alternative2,trad1,trad2
512,群,qún,qun,"crowd, group; 群众 qúnzhòng The Masses",,,,
513,热,rè,re,hot,,,熱,
514,推,tuī,tui,push,,,,
515,晚,wǎn,wan,"late; 晚上 wǎnshang evening; 夜晚 yèwǎn night; 晚饭 wǎnfàn dinner",,,,
516,响,xiǎng,xiang,"sound; 影响 yǐngxiǎng influence",,,響,
517,称,chēng,cheng,"weigh, name",,,稱,
517,称,chèn,chen,"对称 duìchèn symmetric",,,,
518,兴,xìng,xing,"高兴 gāoxìng glad",,,興,
518,兴,xīng,xing,"兴奋 xīngfèn excited",,,,
519,待,dài,dai,"treat, entertain, wait for",,,,
519,待,dāi,dai,"(=呆 dāi) stay",,,,
520,约,yuē,yue,"approximately, arrange, appointment",,,約,
520,约,yāo,yao,weigh,,,,
521,阳,yáng,yang,"opposite of 阴 yīn; 太阳 tàiyáng the sun",,,陽,
522,哥,gē,ge,"(=哥哥 gēge) older brother",,,,
523,惊,jīng,jing,surprise,,,驚,
524,吗,ma,ma,"<interrogative particle>",,,嗎,
524,吗,má,ma,"what; 干吗? gàn má? What's up?",,,,
524,吗,mǎ,ma,"吗啡 mǎfēi morphine",,,,
525,整,zhěng,zheng,"(=整个 zhěnggè) whole; 调整 tiáozhěng adjust; 整齐 zhěngqí neat",,,,
526,支,zhī,zhi,"branch, support; 支持 zhīchí sustain; 地支 dìzhī the Twelve Terrestrial Branches",,,,
527,古,gǔ,gu,"(=古代 gǔdài) ancient",,,,
528,汉,hàn,han,"Chinese ethnicity; 汉语 hànyu Chinese; 汉字 hànzi Chinese character; 老汉 lǎohàn old man",,,漢,
529,突,tū,tu,"charge forward, stick out; 突然 tūrán suddenly",,,,
530,号,hào,hao,"name, number, mark",,,號,
530,号,háo,hao,yell,,,,
531,绝,jué,jue,"cut off, absolute",,,絕,
532,选,xuǎn,xuan,"(=选择 xuǎnzé) choose, select; 选举 xuǎnjǔ election",,,選,
533,吧,ba,ba,"at end of sentence, indicates suggestion",,,,
533,吧,bā,ba,snap!,,,,
534,参,cān,can,"参加 cānjiā participate",,,參,
534,参,shēn,shen,"人参 rénshēn ginseng",,,,
534,参,cēn,cen,"参差 cēncī uneven, irregular",,,,
535,刊,kān,kan,"periodical, publication; 报刊 bǎokān periodical publications, the press",,,,
536,亚,yà,ya,"inferior, second; 亚洲 Yàzhōu Asia",,,亞,
537,复,fù,fu,"(F復) 恢复 huīfù recover, (F複) 复杂 fùzá complicated, complex, (F覆) cover",,,,
538,伤,shāng,shang,"wound, injury, injure; 创伤 chuāngshāng trauma",,,傷,
539,类,lèi,lei,"category, kind, type; 类似 lèisì similar",,,類,
540,备,bèi,bei,"(=准备 zhǔnbèi) get ready, prepare; 设备 shèbèi equipment",,,備,
541,欢,huān,huan,"(=欢乐 huānlè) happy, joyous; 喜欢 xǐhuan like",,,歡,
542,另,lìng,ling,"other; 另外 lìngwài other, besides",,,,
543,港,gǎng,gang,"harbor; 香港 Xiānggǎng Hong Kong",,,,
544,势,shì,shi,"power; 形势 xíngshì circumstances; 姿势 zīshì posture",,,勢,
545,刻,kè,ke,"carve, quarter hour, moment",,,,
546,星,xīng,xing,"star; 火星 huǒxīng Mars; 星期 xīngqī week",,,,
547,断,duàn,duan,"cut off; 不断 búduàn unceasing; 判断 pànduàn judge",,,斷,
548,陈,chén,chen,"display, explain, stale, (dynasty 557-589)",,,陳,
549,掌,zhǎng,zhang,"palm of the hand; 掌握 zhǎngwò grasp",,,,
550,农,nóng,nong,"(=农民 nóngmín) farmer, peasant; 农业 nóngyè agriculture",,,農,
551,夜,yè,ye,"(=夜晚 yèwǎn) night; 半夜 bànyè, 午夜 wǔyè midnight; 夜里 yèlǐ at night",,,,
552,般,bān,ban,"sort, kind; 一般 yìbān ordinary",,,,
552,般,pán,pan,happy,,,,
552,般,bō,bo,"般若 bōrě buddhist wisdom, prajna",,,,
553,念,niàn,nian,"miss, read aloud; 观念 guānniàn concept; 念书 niànshū study",,,唸,
554,价,jià,jia,"(F價) (=价值 jiàzhí) value, (=价钱 jiàqian) price",,,,
554,价,jie,jie,(F價),,,,
554,价,jiè,jie,servant,,,,
555,脑,nǎo,nao,"(=脑子 nǎozi) brain; 脑袋 nǎodai head; 脑壳 nǎoké skull; 电脑 diànnǎo computer",,,腦,
556,规,guī,gui,"规律 guīlǜ regular pattern; 规定 guīdìng regulations",,,規,
557,底,dǐ,di,"bottom; 彻底 chèdǐ thorough; 到底 dàodǐ after all",,,,
558,故,gù,gu,"cause, therefore; 故事 gùshi story; 故意 gùyì on purpose",,,,
559,省,shěng,sheng,"province, economize, omit",,,,
559,省,xǐng,xing,"反省 fǎnxǐng introspection",,,,
560,妈,mā,ma,"mother, mom; 妈妈 māma mama",,,媽,
561,刚,gāng,gang,"firm, (=刚才 gāngcái) just (a moment ago)",,,剛,
562,句,jù,ju,sentence,,,,
563,显,xiǎn,xian,"appear; 显然 xiǎnrán obvious",,,顯,
564,消,xiāo,xiao,"disappear; 消息 xiāoxi news; 消灭 xiāomiè perish",,,,
565,衣,yī,yi,"(=衣服 yīfu) clothing",,,,
565,衣,yì,yi,"wear (clothing), give (clothing) to others to wear",,,,
566,陆,lù,lu,"land; 大陆 continent",,,陸,
566,陆,liù,liu,"six (= 六 liù)",,,,
567,器,qì,qi,"utensil, (=机器 jīqi) machine; 武器 wǔqì weapon",,,,
568,确,què,que,"true; 正确 zhèngquè correct; 确实 quèshí indeed; 明确 míngquè explicit",,,確,
569,破,pò,po,"smash; 破坏 pòhuài ruin; 破烂 pòlàn worn out",,,,
570,具,jù,ju,"工具 gōngjù tool; 具有 jùyǒu possess; 具体 jùtǐ concrete; 玩具 wánjù toy",,,,
571,居,jū,ju,"(=居住 jūzhù) live, reside; 居民 jūmín resident; 居然 jūrán unexpectedly",,,,
572,批,pī,pi,"<classifier for a batch/lot>, comment, criticize, refute; 批评 pīpíng criticize",,,,
573,送,sòng,song,"see somebody off, deliver, give",,,,
574,泽,zé,ze,"沼泽 zhǎozé marsh, swamp; 色泽 sèzé colour and lustre; 毛泽东 Máo Zédōng CCP leader and founder of the PRC",,,澤,
575,紧,jǐn,jin,"tight; 紧张 jǐnzhāng tense; 要紧 yàojǐn important",,,緊,
576,帮,bāng,bang,"(=帮助 bāngzhù, 帮忙 bāngmáng) help, gang",,,幫,
577,线,xiàn,xian,"line, thread; 光线 guāngxiàn light ray; 电线 diànxiàn (electric) wire",,,線,
578,存,cún,cun,"(=存在 cúnzài) exist; 保存 bǎocún preserve",,,,
579,愿,yuàn,yuan,wish,,,願,
580,奇,qí,qi,"marvellous, (=希奇 xīqí) rare, strange",,,,
580,奇,jī,ji,"odd (not even)",,,,
581,害,hài,hai,"harmful; 害虫 hàichóng destructive insect; 厉害 lìhai fierce",,,,
582,增,zēng,zeng,"(=增加 zēngjiā, =增长 zēngzhǎng) increase",,,,
583,杨,yáng,yang,"poplar tree; 三角叶杨 sānjiǎoyèyáng cottonwood",,,楊,
584,料,liào,liao,"(=材料 cáiliào) material, expect, anticipate; 资料 zīliào means, data, material",,,,
585,州,zhōu,zhou,"prefecture; 广州 Guǎngzhōu Canton",,,,
586,节,jié,jie,"joint, section, festival, holiday, (=节日 jiérì) holiday",,,節,
586,节,jiē,jie,"knot, link; 节子 jiēzi gnarl, knot (in wood)",,,,
587,左,zuǒ,zuo,"left; 左边 zuǒbiān left side",,,,
588,装,zhuāng,zhuang,"dress up, load, install, (=假装 jiǎzhuāng) pretend",,,裝,
589,易,yì,yi,"(=容易 róngyì) easy, change; 易经 Yìjīng Book of Changes",,,,
590,著,zhù,zhu,"write, book",,,,
590,著,zhe,zhe,(S着),,,,
590,著,zháo,zhao,(S着),,,,
590,著,zhuó,zhuo,(S着),,,,
590,著,zhāo,zhao,(S着),,,,
591,急,jí,ji,"urgent; 着急 zháojí anxious; 急忙 jímáng in a hurry",,,,
592,久,jiǔ,jiu,"(for a) long time",,,,
593,低,dī,di,"low; 降低 jiàngdī reduce; 低级 dījí elementary; 高低 gāodī height",,,,
594,岁,suì,sui,"years old; 岁数 suìshu age; 万岁 wànsuì long life, Your/His Majesty, ""Banzai""",,,歲,
595,需,xū,xu,"(=需要 xūyào) need; 必需 bìxū essential",,,,
596,酒,jiǔ,jiu,"wine; 啤酒 píjiǔ beer; 喝酒 hējiǔ drink wine",,,,
597,河,hé,he,"river; 河南省 Hénán shěng Henan Province; 运河 yùnhé canal",,,,
598,初,chū,chu,"beginning, first (in order); 初步 chūbù preliminary; 起初 qǐchū at first",,,,
599,游,yóu,you,"(=游泳 yóuyǒng) swim, (=旅游 lǚyóu) travel",,,,
600,严,yán,yan,"severe, stern",,,嚴,
601,铁,tiě,tie,"iron; 地铁 dìtiě underground, subway",,,鐵,
602,族,zú,zu,"(=民族 mínzú) people, nationality, (=种族 zhǒngzú) race",,,,
603,除,chú,chu,"get rid of, divide, (=除了 chúle) except",,,,
604,份,fèn,fen,"portion, share, copy, <classifier for portion, share, copies of newspapers etc.>, college degree",,,,
605,敢,gǎn,gan,"dare; 勇敢 yǒnggǎn brave",,,,
606,胡,hú,hu,"recklessly; 胡说 nonsense (F鬍) (=胡子 húzi) beard (F衚) 胡同 hútòng lane",,,,
607,血,xuè,xue,blood,,,,
607,血,xiě,xie,blood,,,,
608,企,qǐ,qi,"stand on tiptoe, hope for, look forward to; 企业 qǐyè enterprise; 企图 qǐtú attempt; 企鹅 penguin",,,,
609,仍,réng,reng,"(=仍然 réngrán, =仍旧 réngjiù) still, yet, as before",,,,
610,投,tóu,tou,"throw; 投票 tóupiào vote",,,,
611,闻,wén,wen,"smell, hear; 新闻 xīnwén news",,,聞,
612,斗,dǒu,dou,"10 liters; 烟斗 yāndǒu tobacco/opium pipe; 北斗星 Běidǒuxīng The Big Dipper, The Plow",,,,
612,斗,dòu,dou,"(F鬥) fight",,,,
613,纪,jì,ji,"世纪 shìjì century; 纪念 jìniàn memento; 纪律 jìlǜ discipline",,,紀,
613,纪,Jǐ,Ji,"<family name>",,,,
614,脚,jiǎo,jiao,"foot; 赤脚 chìjiǎo barefoot; 脚趾 jiǎozhǐ toe",,,腳,
614,脚,jué,jue,"(=角 jiǎo) role, part, character, actor, actress",,,,
615,右,yòu,you,"right; 右边 yòubiān right side; 左右 zuǒyòu around, nearby, more or less",,,,
616,苏,sū,su,"苏醒 sūxǐng revive; 苏州 Sūzhōu; 苏联 Sūlián USSR",,,蘇,
617,标,biāo,biao,"mark; 标准 biāozhǔn standard",,,標,
618,饭,fàn,fan,"rice, food",,,飯,
619,云,yún,yun,"say, (F雲) (=云彩 yúncai) cloud",,,,
620,病,bìng,bing,"sick; 毛病 máobing malfunction",,,,
621,医,yī,yi,"(=医学 yīxué) medical science; 医生 yīshēng doctor; 医院 yīyuàn hospital",,,醫,
622,阿,ā,a,"阿拉伯 ālābó Arab",,,,
622,阿,ē,e,"阿弥陀佛ēmítuógó Amitabha = Buddha preserve us",,,,
623,答,dá,da,"(=回答 huídá) answer",,,,
623,答,dā,da,"答应 dāying respond, promise",,,,
624,土,tǔ,tu,"earth, (=土地 tǔdì) land, (=土壤 tǔrǎng) soil",,,,
625,况,kuàng,kuang,"情况 qíngkuàng circumstances; 况且 kuàngqiě moreover",,,況,
626,境,jìng,jing,"border, territory; 环境 huánjìng environment",,,,
627,软,ruǎn,ruan,"soft; 软件 ruǎnjiàn software",,,軟,
628,考,kǎo,kao,"(=考虑 kǎolǜ) consider, (=考试 kǎoshì) exam",,,,
629,娘,niáng,niang,"mother, aunt",,,,
629,娘,niang,niang,"姑娘 gūniang girl",,,,
630,村,cūn,cun,"village, rustic; 农村 nóngcūn countryside, village",,,,
631,刀,dāo,dao,knife,,,,
632,击,jī,ji,"beat, strike, knock; 打击 dǎjī strike, hitt, attack, assault",,,擊,
633,仅,jǐn,jin,"(=仅仅 jǐnjǐn) only, barely",,,僅,
634,查,chá,cha,"examine, investigate; 检查 jiǎnchá inspect",,,,
634,查,Zhā,Zha,"<family name>",,,,
635,引,yǐn,yin,"draw, stretch, (=引起 yǐnqǐ) cause, (=吸引 xīyǐn) attract",,,,
636,朝,cháo,chao,"towards, dynasty; 朝鲜 Cháoxiān Korea",,,,
636,朝,zhāo,zhao,(morning),,,,
637,育,yù,yu,"raise, educate; 教育 jiàoyù education",,,,
637,育,yō,yo,"杭育 hángyō heave-ho, yo-ho",,,,
638,续,xù,xu,"(=继续 jìxù) continue; 连续 liánxù continuous",,,續,
639,独,dú,du,"only, alone; 独立 dúlì independent",,,獨,
640,罗,luó,luo,"(=罗网 luówǎng) birdnet; 罗马 Luómǎ Rome; 罗盘 luópán compass",,,羅,
640,罗,luō,luo,"罗嗦 luōsuo wordy, troublesome; 哩哩罗罗 līliluōluō the sound of boiling/rumbling/etc.",,,,
641,买,mǎi,mai,buy,,,買,
642,户,hù,hu,"door, household; 窗户 chuānghù window",,,戶,
643,护,hù,hu,"(=保护 bǎohù) guard, protect; 护士 hùshi nurse",,,護,
644,喝,hē,he,drink,,,,
644,喝,hè,he,shout,,,,
645,朋,péng,peng,"朋友 péngyǒu friend",,,,
646,供,gōng,gong,supply,,,,
646,供,gòng,gong,confess,,,,
647,责,zé,ze,"duty; 责任 zérèn responsibility",,,責,
648,项,xiàng,xiang,"(=项目 xiàngmù) item",,,項,
649,背,bèi,bei,back,,,,
649,背,bēi,bei,"carry on the back",,,,
650,余,yú,yu,"I, me, (F餘) left-over, extra; 其余 the rest; 余弦 cosine",,,,
651,希,xī,xi,"sparse, scattered, watery, this; 希望 xīwàng hope; 希奇 xīqí rare, strange; 希腊 Xīlà Greece",,,,
652,卫,wèi,wei,"保卫 defend; 卫生 sanitary; 卫星 satellite",,,衛,
653,列,liè,lie,"column, line up; 列车 lièchē train; 排列 páiliè arrange",,,,
654,图,tú,tu,"picture; 地图 dìtú map; 图书馆 túshūguǎn library",,,圖,
655,室,shì,shi,"room; 教室 jiàoshì classroom; 卧室 wòshì bedroom; 办公室 bàngōngshì office",,,,
656,乱,luàn,luan,"chaotic, disorderly, messy; 混乱 hùnluàn chaos",,,亂,
657,刘,Liú,Liu,"<family name>",,,劉,
658,爷,yé,ye,"father; 爷爷 yéye grandpa",,,爺,
659,龙,lóng,long,"dragon; 恐龙 kǒnglóng dinosaur",,,龍,
660,咱,zán,zan,"(=咱们 zánmen) we = you and I",,,,
660,咱,zan,zan,"(abbreviation for 早晚 zǎowǎn) all the time, morning and evening, sooner or later",,,,
661,章,zhāng,zhang,"chapter, seal, stamp, medal, badge, rules",,,,
662,席,xí,xi,"mat, seat, banquet; 主席 zhǔxí chairperson",,,,
663,错,cuò,cuo,"(=错误 cuòwù) mistake; 不错 búcuò not bad, pretty good; 一点儿不错! yìdiǎnr búcuò! perfectly correct!",,,錯,
664,兄,xiōng,xiong,"(elder) brother; 兄弟 xiōngdì brothers",,,,
665,暗,àn,an,"(=黑暗 hēi'àn) dark; 暗暗 secretly; 阴暗 gloomy; 暗示 hint",,,,
666,创,chuàng,chuang,"创造 chuàngzào create",,,創,
666,创,chuāng,chuang,"创伤 chuāngshāng trauma",,,,
667,排,pái,pai,"arrange, row, line",,,,
667,排,pǎi,pai,"排子车 pǎizìchē handcart",,,,
668,春,chūn,chun,"(=春天 chūntiān, =春季 chūnjì) spring; 春卷 chūnjuǎn spring roll; 春夏秋冬 chūnxiàqiūdōng the four seasons",,,,
669,须,xū,xu,"(F須) (=必须 bìxū) must, (F鬚) (=胡须 húxū) beard",,,,
670,承,chéng,cheng,"承认 chéngrèn admit; 继承 jìchéng inherit",,,,
671,案,àn,an,"desk, (law) case; 答案 dá'àn answer or solution to a problem",,,,
672,忙,máng,mang,"hurry, busy; 帮忙 help; 连忙 right away",,,,
673,呼,hū,hu,"shout, exhale; 呼吸 hūxī breathe; 欢呼 huānhū cheer",,,,
674,树,shù,shu,"tree; 树林 shùlín woods; 树木 shùmù trees; 树干 shùgàn trunk",,,樹,
675,痛,tòng,tong,"painful; 痛苦 tòngkǔ suffering; 痛快 tòngkuai delighted",,,,
676,沉,chén,chen,"to sink; 沉重 chénzhòng heavy",,,,
676,沉,chēn,chen,"黑沉沉 hēichēnchēn pitch-black",,,,
677,啊,a,a,"(used as phrase suffix, indicating obviousness/impatience)",,,,
677,啊,ā,a,"(indicating elation); 啊!我又赢了! ā! Wǒ yòu yíngle! Ha! I've won again!",,,,
677,啊,á,a,"(indicating doubt or questioning), huh?; 啊?你说什么? ?? Nǐ shuō shenme? Huh? What are you saying?",,,,
677,啊,ǎ,a,"(indicating puzzled surprise)",,,,
677,啊,à,a,"(indicating agreement/approval); 啊,好吧! ?, hǎoba! Well, OK!",,,,
678,灵,líng,ling,"clever, spirit, soul, elf; 灵活 línghuó nimble, easy",,,靈,
679,职,zhí,zhi,"duty; 职工 zhígōng staff; 职业 zhíyè occupation",,,職,
680,乡,xiāng,xiang,"countryside, home town",,,鄉,
681,细,xì,xi,"thin; 仔细 zǐxì careful; 细胞 xìbāo cell; 详细 xiángxì detailed",,,細,
682,诉,sù,su,"告诉 gàosu tell; 诉讼 sùsòng lawsuit",,,訴,
683,态,tài,tai,"form; 态度 tàidu manner; 状态 zhuàngtài state",,,態,
684,停,tíng,ting,"(=停止 tíngzhǐ) stop; 停车场 tíngchēchǎng parking lot",,,,
685,印,yìn,yin,"(=印刷 yìnshuā) print, (=印章 yìnzhāng) seal",,,,
686,笔,bǐ,bi,"writing implement; 毛笔 brush; 钢笔 pen; 铅笔 pencil",,,筆,
687,夏,xià,xia,"(=夏天 xiàtiān) summer; 春夏秋冬 chūnxiàqiūdōng the four seasons",,,,
688,助,zhù,zhu,"(=帮助 bāngzhù) help",,,,
689,福,fú,fu,"blessing, good fortune, (=幸福 xìngfú) happiness, happy; 祝福 zhùfú invoke/wish a blessing; 福建 Fújiàn",,,,
690,块,kuài,kuai,"piece, lump, chunk, (=元 yuán) Chinese dollar",,,塊,
691,冷,lěng,leng,"cold; 冷静 lěngjìng calm",,,,
692,球,qiú,qiu,"ball; 足球 zúqiú football (soccer); 地球 dìqiú the Earth",,,,
693,姑,gū,gu,"姑娘 gūniang girl",,,,
694,划,huá,hua,"row (a boat) (F劃) scratch",,,,
694,划,huà,hua,"(F劃) (=计划 jìhuà) plan (F畫)",,,,
695,既,jì,ji,"since, already; 既然 jìrán since, now that",,,,
696,质,zhì,zhi,"(=物质 wùzhì) matter, substance; 质量 zhìliàng quality, mass",,,質,
697,巴,bā,ba,"尾巴 wěiba tail; 嘴巴 zuǐbā mouth; 巴西 Bāxī Brazil",,,,
697,巴,bà,ba,"嘴巴子 zuǐbàzi mouth, a slap in the face",,,,
698,致,zhì,zhi,"send, convey; 一致 yízhì identical, (F緻) 细致 xìzhì careful",,,,
699,湾,wān,wan,"harbor; 台湾 Táiwān",,,灣,
700,演,yǎn,yan,"(=表演 biǎoyǎn) perform, act, performance",,,,
701,木,mù,mu,"tree, (=木头 mùtou) wood;",,,,
702,韦,wéi,wei,"soft leather, <family name>",,,韋,
703,怪,guài,guai,"blame, (=奇怪 qíguài) strange; 怪物 guàiwu monster",,,,
704,围,wéi,wei,"surround; 围棋 wéiqí Japanese ""go""",,,圍,
705,静,jìng,jing,"still, quiet; 静电 jìngdiàn static electricity",,,靜,
706,旁,páng,pang,"(=旁边 pángbiān) side",,,,
706,旁,bàng,bang,(=傍),,,,
707,园,yuán,yuan,"(=花园 huāyuán) garden, (=公园 gōngyuán) park",,,園,
708,否,fǒu,fou,"not; 是否 shìfǒu whether or not, is (it) or is (it) not?",,,,
708,否,pǐ,pi,"bad, inferior; 臧否 zāngpǐ pass judgment (on people)",,,,
709,副,fù,fu,"assist, vice-; 副词 fùcí adverb",,,,
710,辑,jí,ji,"编辑 biānjí edit; 逻辑 luójí <loan> logic",,,輯,
711,采,cǎi,cai,"pick, gather (F採)",,,,
711,采,cài,cai,"(F埰) 采地 càidì fief",,,,
712,食,shí,shi,"eat, (=食物 shíwù, =食品 shípǐn) food",,,,
712,食,sì,si,feed,,,,
713,登,dēng,deng,climb,,,,
714,够,gòu,gou,"enough; 能够 nénggòu be capable of",,,夠,
715,赛,sài,sai,"contest; 比赛 match, race",,,賽,
716,米,mǐ,mi,"(=米饭 mǐfàn) rice, meter; 玉米 yùmǐ corn",,,,
717,假,jiǎ,jia,false,,,,
717,假,jià,jia,"(=假期 jiàqī) vacation",,,,
718,较,jiào,jiao,"relatively, quite; 比较 bǐjiào compare, relatively",,,較,
718,较,jiǎo,jiao,"(bǐjiǎo = bǐjiào)",,,,
719,姐,jiě,jie,"(=姐姐 jiějie) older sister; 小姐 xiǎojie young lady",,,,
720,楼,lóu,lou,"story, building; 大楼 mansion; 楼梯 lóutī stairs",,,樓,
721,获,huò,huo,"(F獲) (=获得 huòdé) get, obtain, (F穫) 收获 shōuhuò harvest",,,,
722,孙,sūn,sun,"grandchild; 子孙 zǐsūn children and grandchildren, descendants; 孙悟空 Sūn Wùkōng monkey with supernatural powers in the nobel ""Journey to the West""; 孙中山 Sūn Zhōngshān = 孙逸仙 Sūn Yixiān = Sun Yat-sen, leader of the Republican Revolution and the KMT",,,孫,
723,宣,xuān,xuan,"(=宣布 xuānbù) declare; 宣传 propaganda",,,,
724,穿,chuān,chuan,"penetrate, wear",,,,
725,诗,shī,shi,"poem; 诗人 shīrén poet",,,詩,
726,歌,gē,ge,"song; 唱歌 chànggē to sing",,,,
727,速,sù,su,"fast; 速度 sùdù speed",,,,
728,忽,hū,hu,"disregard, (=忽然 hūrán) suddenly, (=忽而 hū'ér) now...",,,,
729,堂,táng,tang,"hall; 食堂 shítáng dining hall, canteen; 课堂 kètáng classroom",,,,
729,堂,tāng,tang,"亮堂堂 liàngtāngtāng brightly lit, brilliant",,,,
730,敌,dí,di,"(敌人 dírén) enemy; 敌军 enemy troops",,,敵,
731,试,shì,shi,"try, test; 考试 kǎoshì test, quiz",,,試,
732,谢,xiè,xie,"thank; 谢谢 xièxie thanks; 非常感谢",,,謝,
733,央,yāng,yang,"entreat, center; 中央 central; 央求 beg, plead",,,,
734,怀,huái,huai,"bosom, cherish; 怀疑 huáiyí suspect; 怀念 huáiniàn cherish memory",,,懷,
735,顾,gù,gu,"(=照顾 zhàogu) look after; 顾客 gùkè customer",,,顧,
736,验,yàn,yan,"(=经验 jīngyàn) experience",,,驗,
737,营,yíng,ying,"camp; 营火 campfire; 营业 do business",,,營,
738,止,zhǐ,zhi,"(=停止 tíngzhǐ) stop",,,,
739,姓,xìng,xing,"family name; 姓名 xìngmíng full name (family name and personal name); 您贵姓 Nín guìxìng? (May I ask for) your family name, Sir/Madame?",,,,
740,养,yǎng,yang,"raise, nourish; 营养 yíngyǎng nutrition",,,養,
741,丽,lì,li,"美丽 měilì beautiful; 壮丽 majestic",,,麗,
741,丽,Lí,Li,Korea,,,,
742,属,shǔ,shu,"belong to, be subordinate to, born in a specific year acoording to the Chinese calendar",,,屬,
742,属,zhǔ,zhu,enjoin,,,,
743,景,jǐng,jing,"scene, scenery; 风景 fēngjǐng scenery, landscape",,,,
744,郭,guō,guo,"outer wall of city, <family name>",,,,
745,依,yī,yi,"(=依靠 yīkào) depend on, comply with, according to; 依然 yīrán still",,,,
746,威,wēi,wei,"威胁 wēixié threaten, imperil; 示威 shìwēi demonstrate; 挪威 Nuówēi Norway",,,,
747,按,àn,an,"press, (=按照 ànzhào) according to; 按摩 ànmó massage",,,,
748,恶,è,e,evil,,,惡,
748,恶,wù,wu,"(厌恶) hate",,,,
748,恶,ě,e,"(恶心) nauseous",,,,
749,慢,màn,man,slow,,,,
750,座,zuò,zuo,"(=座位 zuòwèi) seat, place, stand, pedestal, base, <classifier for mountains, bridges etc.>",,,,
751,罪,zuì,zui,"crime, guilt",,,,
752,维,wéi,wei,"纤维 xiānwéi fiber; 维护 wéihù safeguard; 思维 síwéi think",,,維,
753,渐,jiàn,jian,"(=渐渐 jiànjiàn, =逐渐 zhújiàn) gradually",,,漸,
753,渐,jiān,jian,"dip/soak in liquid",,,,
754,胜,shèng,sheng,"(=胜利 shènglì) victory, triumph, win",,,勝,
755,藏,cáng,cang,"store; conceal, hide",,,,
755,藏,zàng,zang,"(=西藏 Xīzàng) Tibet",,,,
756,皇,huáng,huang,"皇帝 huángdì emperor; 皇后 huánghòu empress",,,,
757,街,jiē,jie,"street; 街道 street, neighborhood; 街头 street-corner",,,,
758,激,jī,ji,"surge, dash, (=激动 jīdòng) excite; 激烈 jīliè intense",,,,
759,异,yì,yi,"different; 异常 yìcháng unusual",,,異,
760,摘,zhāi,zhai,"pick, take off, select",,,,
761,角,jiǎo,jiao,"horn, corner, dime",,,,
761,角,jué,jue,"actor, role",,,,
762,瞧,qiáo,qiao,look,,,,
763,负,fù,fu,"carry on shoulder, suffer, negative",,,負,
764,施,shī,shi,"carry out; 措施 cuòshī to measure, step; 施工 construction",,,,
765,模,mó,mo,"模范 mófàn model; 模仿 mófǎng imitate",,,,
765,模,mú,mu,"模样 múyàng appearance; 模子 múzi mold, pattern, die",,,,
766,草,cǎo,cao,"grass; 草莓 cǎoméi strawberry",,,,
767,某,mǒu,mou,"certain, some; 某人 mǒurén somebody",,,,
768,银,yín,yin,"silver; 银行 yínháng bank",,,銀,
769,露,lù,lu,"(=露水 lùshui) dew, show, reveal, betray",,,,
769,露,lòu,lou,reveal,,,,
770,阵,zhèn,zhen,"battle array, <classifier for phases, spells etc.>; 一阵风 yí zhèn fēng a short period of time",,,陣,
771,值,zhí,zhi,"(=值得 zhíde) be worth, (=价值 jiàzhí) value",,,,
772,班,bān,ban,"class, work; 上班 shàngbān go to work; 值班 zhíbān be on duty",,,,
773,层,céng,ceng,"layer, level, storey",,,層,
774,修,xiū,xiu,"repair, decorate; 修改 xiūgǎi revise",,,,
775,差,chà,cha,"differ, wrong",,,,
775,差,chā,cha,"差别 difference",,,,
775,差,chāi,chai,出差,,,,
775,差,cī,ci,rank,,,,
775,差,cuō,cuo,stumble,,,,
776,味,wèi,wei,"(=味道 wèidao) flavor, taste",,,,
777,织,zhī,zhi,"weave, knit; 组织 zǔshī organize; 纺织 fǎngzhī spin and weave",,,織,
778,药,yào,yao,"medicine, drug",,,藥,
779,馆,guǎn,guan,"building; 饭馆 restaurant",,,館,
780,密,mì,mi,"thick, dense",,,,
781,亮,liàng,liang,"bright, light, shine, loud and clear; 漂亮 piàoliang handsome, beautiful, remarkable, brilliant, smart",,,,
782,律,lǜ,lǜ,"法律 fǎlǜ law; 律师 lǜshū lawyer; 纪律 jìlǜ discipline; 旋律 xuánlǜ tune, melody",,,,
783,习,xí,xi,"练习 liànxí practice; 学习 xuéxí study; 习惯 xíguàn habit",,,習,
784,田,tián,tian,"field; 田野 tiányě open country",,,,
785,简,jiǎn,jian,"简单 jiǎndān simple; 简体字 jiǎntǐzì simple form character",,,簡,
786,免,miǎn,mian,"exempt; 避免 bìmiǎn avoid; 免费 miǎnfèi free",,,,
787,毒,dú,du,"(毒物) poison; (毒品) drug; 病毒 virus",,,,
788,归,guī,gui,return,,,歸,
789,波,bō,bo,"(=波浪 bōlàng) wave; 波长 bīchánga wavelength",,,,
790,型,xíng,xing,"mould, type; 典型 diǎnxíng typical",,,,
791,屋,wū,wu,"(屋子 wūzi) room, (=房屋 fángwū) building; 屋顶 roof",,,,
792,换,huàn,huan,"change, exchange",,,換,
793,救,jiù,jiu,"help, rescue; 救命 jiùmìng! Help! Save me!",,,,
794,寄,jì,ji,"to mail; 寄生虫 jìshēngchóng parasite",,,,
795,帝,dì,di,"emperor; 帝国 dìguó empire; 上帝 Shàngdì God",,,,
796,退,tuì,tui,"go backwards, (=后退 hòutuì) retreat; 撤退 chètuì withdraw",,,,
